[Epoch 0]	Learning rate: 1.00e-4
[80000/80000]	[MSE: 0.0000482353]	30.7+6.5s

Evaluation:
[DenoiseColorSet68 x1]	PSNR: 30.006 (Best: 30.039 @self.epoch 6)
Forward: 192.91s

Saving...
Total: 193.15s

[Epoch 7]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0000487514]	30.2+6.5s
[3200/80000]	[MSE: 0.0000490182]	30.3+6.4s
[4800/80000]	[MSE: 0.0000487076]	30.2+6.3s
[6400/80000]	[MSE: 0.0000480426]	30.3+6.3s
[8000/80000]	[MSE: 0.0000479983]	30.3+6.3s
[9600/80000]	[MSE: 0.0000480833]	30.3+6.2s
[11200/80000]	[MSE: 0.0000478393]	30.1+6.3s
[12800/80000]	[MSE: 0.0000480645]	30.1+6.3s
[14400/80000]	[MSE: 0.0000482155]	30.2+6.2s
[16000/80000]	[MSE: 0.0000481506]	30.2+6.3s
[17600/80000]	[MSE: 0.0000480866]	30.1+6.2s
[19200/80000]	[MSE: 0.0000481801]	30.0+6.3s
[20800/80000]	[MSE: 0.0000483698]	30.2+6.2s
[22400/80000]	[MSE: 0.0000483579]	30.0+6.3s
[24000/80000]	[MSE: 0.0000483299]	30.0+6.3s
[25600/80000]	[MSE: 0.0000484305]	30.8+6.5s
[27200/80000]	[MSE: 0.0000482258]	30.8+6.4s
[28800/80000]	[MSE: 0.0000481631]	31.2+6.5s
[30400/80000]	[MSE: 0.0000482085]	32.2+6.5s
[32000/80000]	[MSE: 0.0000482441]	32.3+6.4s
[33600/80000]	[MSE: 0.0000481954]	32.3+6.4s
[35200/80000]	[MSE: 0.0000482056]	32.2+6.4s
[36800/80000]	[MSE: 0.0000482209]	32.0+6.5s
[38400/80000]	[MSE: 0.0000482008]	31.9+6.5s
[40000/80000]	[MSE: 0.0000481387]	31.8+6.5s
[41600/80000]	[MSE: 0.0000482419]	30.6+6.5s
[43200/80000]	[MSE: 0.0000481998]	30.2+6.5s
[44800/80000]	[MSE: 0.0000481484]	30.2+6.5s
[46400/80000]	[MSE: 0.0000481164]	30.4+6.3s
[48000/80000]	[MSE: 0.0000481616]	30.3+6.3s
[49600/80000]	[MSE: 0.0000482064]	30.3+6.3s
[51200/80000]	[MSE: 0.0000481936]	30.3+6.3s
[52800/80000]	[MSE: 0.0000481822]	30.4+6.3s
[54400/80000]	[MSE: 0.0000481626]	30.3+6.4s
